Address,Tickets
0x33ce5d531e190a839168817664ee514c4844cfb1,3.428
0xc2ce993a5c29de18fad875e482a4347471cfc325,1.698
0xf3d319bbe1be1a2a04e287205de74df6f145d359,0.578
0xfb25748ad7359888ac615968d8ef9e0ab435e2d7,58.942
0x6194cd3802eefcabfef2f7a70bb328c087dc0f95,2.8
0xb826ef24bb7e653be426c58492405741a8d82bb1,2.6950000000000003
0x41e3065f22be1eb44b8c6fe79088b13a95acd705,1.002
0x5d49831561ad4c7aef6b7cb19537ff5667ec2e53,39
0xd052a61e818937007168699b78ce775b431ca57b,6.012
0x735e4dd72930548db678a49db8b7b5758973a0d4,0.784
0x4814a70a33f928f6eaac0da13ce73a86e059d9cf,2
0x5dbfc38ead0e355ba20aed7118d3ccc181251d4e,7.09
0xd4414da59322bb09075830b51f6edea4f24f0058,14
0x5d73ad30928efb7df624a753de27e23ba4216bbe,5.172000000000001
0xd0dd3ffbbf15c43781bb6bbbebac7d48c25479d0,1.001
0x6d4261148835139e31ab986047da3463577536da,4.44
0xac7931ccded13ae7b97c31fe90725a71a6978cd8,5.28
0x76e55b41411e558ca58b561f0825a7cbadd512da,2.5709999999999997
0xa4bda13a5e137b4884f8b825c6360c9ffe25415c,0.51
0x0cea2e0ca4effd0f629fac310d55914f579ff8a0,10.405999999999999
0x8f0573d35b4676852d5870a68e5c211db64d9c22,0.605
0x4bfd4636b0c35ffeebcb3a92c4370cdd23c0f505,30.942
0xfbef089c6edaabea78dbdc9ea177aa3873179eab,1.991
0xb0cfa2c27c6d902a932e852f3dbaaa0cdad2d02a,1.5
0x5f1a792d91b1cd1e0cb120434e7c9a26da4bbfde,2.628
0x990f50b142769b5bea27aba0dd5ba4e917e74947,15.16
0xf309353941842da30a429aab83753ca6edd3fa53,12.887999999999998
0x02768e97666af703538df22bce224c52488a35b2,26.009999999999998
0xcb74ec4d1b582cb37faff131de16d81bb1d8f3e8,15
0x5821cb089d0571b15b32b532cd7979b08d758426,4.6
0x1a3cfc097fb88ab95567864f8d9585abad5d5368,1.147
